OBJECTID,MXLOCATION,designvolt,status,description,type,Symbol,Shape__Length,GlobalID
117,MDN-MPE-A,110,COMMISSIONED,Marsden - Maungatapere A,TRANSLINE,110 TRANSLINE,29289.4405971627,bf07f186-59d3-4125-985a-55f48f188cc8
118,MER-TAK-A,110,COMMISSIONED,Meremere - Takanini A,TRANSLINE,110 TRANSLINE,15609.4949006882,84a055a0-325a-4b46-b1b7-0adb57258998
122,MNI-DEV-A,110,COMMISSIONED,Motunui - Deviation A,TRANSLINE,110 TRANSLINE,25095.4422123495,713ebbab-035f-400b-9484-f13ab00d950f
123,MST-UHT-A,110,COMMISSIONED,Masterton - Upper Hutt A,TRANSLINE,110 TRANSLINE,54546.0116495105,0114a314-87fb-40dd-b53b-64b52d286166
124,MTI-WKM-A,220,COMMISSIONED,Maraetai - Whakamaru A,TRANSLINE,220 TRANSLINE,9261.06773221723,219e2e5a-cf69-404d-b66c-0145d7a8a30e
125,MTI-WKM-B,220,COMMISSIONED,Maraetai - Whakamaru B,TRANSLINE,220 TRANSLINE,9282.6032043683,48195629-2cc2-487d-abdf-d8e19a5dd9e1
126,MTI-WPA-A,220,COMMISSIONED,Maraetai - Waipapa A,TRANSLINE,220 TRANSLINE,10338.9966703278,b862cdc1-ddc4-410e-8e5b-278e692520a2
127,NMA-TMH-A,220,COMMISSIONED,North Makarewa - Three Mile Hill A,TRANSLINE,220 TRANSLINE,198809.866080121,31eb6204-2782-420c-9508-7197910b5a3e
128,NPL-SFD-A,220,COMMISSIONED,New Plymouth - Stratford A,TRANSLINE,220 TRANSLINE,44722.2236524283,17138945-2fa5-4006-a016-459349663cc3
129,OHA-TWZ-A,220,COMMISSIONED,Ohau A - Twizel A,TRANSLINE,220 TRANSLINE,8655.86013553831,2a947fff-dee4-47ae-a157-ba874a69fe2c
130,OHK-EDG-A,220,COMMISSIONED,Ohakuri - Edgecumbe A,TRANSLINE,220 TRANSLINE,95693.3275929876,9a76cc83-de6f-4a97-88f6-63899613c12d
131,OKE-TMI-A,110,COMMISSIONED,Okere - Te Matai A,TRANSLINE,110 TRANSLINE,26174.1506031375,98153346-f2ad-4b6d-a515-aca292daf5b3
132,OKI-WRK-A,220,COMMISSIONED,Ohaaki - Wairakei A,TRANSLINE,220 TRANSLINE,22971.9179522816,3e13fcbc-9353-4661-a28a-571ec1078365
133,OPK-SFD-A,110,COMMISSIONED,Opunake - Stratford A,TRANSLINE,110 TRANSLINE,39342.669490964,993c48da-4044-4931-9302-126cdc341841
135,OWH-DEV-A,110,COMMISSIONED,Owhata - Deviation A,TRANSLINE,110 TRANSLINE,11680.5112907432,4067f6dd-5590-4f57-ba08-f76a3e879b68
136,PAK-PEN-B-CBL,220,COMMISSIONED,Pakuranga - Penrose B Cable,CABLE,220 CABLE,9005.52479315407,f5c7f1a0-bc45-4200-8743-f3635e0ae5c2
137,PAO-TEE-A,110,COMMISSIONED,Piako - Tee A,TRANSLINE,110 TRANSLINE,2484.47217059586,9825d1dd-a0af-46a1-a51f-54688e61dd7f
138,PEN-ROS-A,110,COMMISSIONED,Penrose - Mt Roskill A,TRANSLINE,110 TRANSLINE,10531.9940303195,d8b2a3d5-7286-49ae-b69e-9551fda95957
139,PKK-TKR-A,110,COMMISSIONED,Paekakariki - Takapu Road A,TRANSLINE,110 TRANSLINE,8086.34290000586,4666dd08-e575-4abe-8e6b-c8b6b0d6e87d
140,PPI-THI-A,220,COMMISSIONED,Poihipi - Te Mihi A,TRANSLINE,220 TRANSLINE,1669.20590105492,d993bc99-c336-47ef-a53f-6b351d107b45
141,PRM-TEE-A,220,COMMISSIONED,Paraparaumu - Tee A,TRANSLINE,220 TRANSLINE,1343.89048825726,7cc8b43d-d826-43b6-a3ee-43fc42394bf7
142,PRM-TEE-B,220,COMMISSIONED,Paraparaumu - Tee B,TRANSLINE,220 TRANSLINE,872.700924436204,a364d3bc-372a-403d-a785-95ef5dd80fd0
143,RDF-WHI-A,220,COMMISSIONED,Redclyffe - Whirinaki A,TRANSLINE,220 TRANSLINE,23305.9015212972,34803d72-8b5a-4a79-a5d8-b0ca9ca9c9a0
144,RDF-WTU-A,220,COMMISSIONED,Redclyffe - Whakatu A,TRANSLINE,220 TRANSLINE,9312.02351127233,09655d6b-74bd-4fab-82b6-a62538e34628
145,ROX-ISL-A,220,COMMISSIONED,Roxburgh - Islington A,TRANSLINE,220 TRANSLINE,375948.339775895,0227776a-7fda-4825-96be-07c2fb728c0c
146,ROX-TMH-A,220,COMMISSIONED,Roxburgh - Three Mile Hill A,TRANSLINE,220 TRANSLINE,101786.834027877,377d5d5d-183d-430a-bb39-139b8de0c423
147,RTO-HTI-A,110,COMMISSIONED,Rangitoto Hills - Hangatiki A,TRANSLINE,110 TRANSLINE,14154.6104738814,fef24faa-55c5-4427-8a1c-b080075e3939
148,SBK-WPR-A,66,COMMISSIONED,Southbrook - Waipara A,TRANSLINE,66 TRANSLINE,34897.0268998183,aa661e02-d167-4556-aea8-103e46901908
149,SFD-TMN-A,220,COMMISSIONED,Stratford - Taumarunui A,TRANSLINE,220 TRANSLINE,109764.733710719,0b97952e-a70d-43c2-aaec-075f724ad049
150,SMK-OTB-A,11,COMMISSIONED,South Makara - Oteranga Bay A,TRANSLINE,11 TRANSLINE,5073.40466609844,f42f6fa2-9cfd-4d23-ab55-579abc36e1a3
151,SMK-OTB-A1-CBL,11,COMMISSIONED,SMK-OTB-A1-CBL Section,CABLE,11 CABLE,545.070080082042,0fa69df6-a42d-4827-ad7b-bc1b873cba3b
153,THI-DEV-A,220,COMMISSIONED,Te Mihi - Deviation A,TRANSLINE,220 TRANSLINE,481.362962710849,5f59a4a7-2bcb-465a-a342-761b1038cfba
154,TIM-DEV-A,220,COMMISSIONED,Timaru - Deviation A,TRANSLINE,220 TRANSLINE,32711.9909708183,11e079f0-3190-4ea5-a18a-490031309dc2
155,TKA-TIM-A,110,COMMISSIONED,Tekapo A - Timaru A,TRANSLINE,110 TRANSLINE,79611.9267108977,4c864096-46ad-43e3-a807-943a56c3bddd
156,TKB-DEV-A,220,COMMISSIONED,Tekapo B - Deviation A,TRANSLINE,220 TRANSLINE,3089.00844021533,d42254bc-a93a-40b6-b66c-9528712f9eae
158,TKR-WIL-A,110,COMMISSIONED,Takapu Road - Wilton A,TRANSLINE,110 TRANSLINE,18603.2096451841,28861113-103b-41a4-9558-1cd7c7af18ce
159,TNG-TEE-A,220,COMMISSIONED,Tangiwai - Tee A,TRANSLINE,220 TRANSLINE,10602.5553762937,3419d7a3-3999-4b6c-91c9-e04abb41f529
160,TRK-DEV-A,110,COMMISSIONED,Tarukenga - Deviation A,TRANSLINE,110 TRANSLINE,1908.89857316929,6bef0772-c7d6-4a34-99ea-a452781ccba3
161,TRK-DEV-B,110,COMMISSIONED,Tarukenga - Deviation B,TRANSLINE,110 TRANSLINE,4842.73416617163,0ca0d15d-771e-478a-9f44-213a586d1cc9
162,TUI-BPE-A,110,COMMISSIONED,Tuai - Bunnythorpe A,TRANSLINE,110 TRANSLINE,93305.758293029,751454cd-3f00-4b85-b23b-278598d52ee1
163,TWC-TEE-A,220,COMMISSIONED,Tararua Wind Central - Tee A,TRANSLINE,220 TRANSLINE,5875.64464165871,02f1d385-79e7-4d77-bc96-3c6b2148fd31
164,TWH-DEV-A,220,COMMISSIONED,Te Kowhai - Deviation A,TRANSLINE,220 TRANSLINE,2029.18832730599,3843617c-fb9b-4a66-bcce-42753802af0c
165,TWZ-DEV-A,220,COMMISSIONED,Twizel - Deviation A,TRANSLINE,220 TRANSLINE,7851.3058532003,84dc4328-230b-4306-9a39-c546dbfb0762
166,WHU-WKO-A,110,COMMISSIONED,Waihou - Waikino A,TRANSLINE,110 TRANSLINE,20643.5471352041,b3a5a82d-d93f-4a18-bb9e-01723bd6d3f7
167,WMG-WPT-A,110,COMMISSIONED,Waimangaroa - Westport A,TRANSLINE,110 TRANSLINE,23527.1083181952,2b4dcd19-44c1-4d94-a3ce-8ae8aec4c9ec
168,WRK-WHI-A,220,COMMISSIONED,Wairakei - Whirinaki A,TRANSLINE,220 TRANSLINE,114161.396627562,3927ee55-6666-4971-86a9-e03901b5730e
169,WRK-WKM-C,220,COMMISSIONED,Wairakei - Whakamaru C,TRANSLINE,220 TRANSLINE,40511.8490943764,2b82774e-7979-41f4-ac22-76ba19eb0836
170,WWD-TEE-A,110,COMMISSIONED,West Wind - Tee A,TRANSLINE,110 TRANSLINE,3165.45124681488,96b3bf4d-b941-4e44-92fe-47041d8742fa
174,HOB-WRD-A-CBL,220,COMMISSIONED,Hobson Street - Wairau Road Cable,CABLE,220 CABLE,9620.66700254494,04e2d001-aeb9-4d56-975b-0507649ecbe5
175,HAM-MER-B2-CBL-Z,110,COMMISSIONED,Hamilton Meremere B2 Cable Section,CABLE,110 CABLE,2475.59996723914,d8788864-c571-43e9-ad3f-212cfd69043e
176,HAM-MER-B1-CBL-Z,110,COMMISSIONED,Hamilton Meremere B1 Cable Section,CABLE,110 CABLE,2301.26031917601,4da1a8ae-8efe-415a-9d05-31b4eae3bf4f
177,HAM-MER-B,110,COMMISSIONED,Hamilton - Meremere B,TRANSLINE,110 TRANSLINE,58802.2814774329,003888ad-3a21-4ec2-8e7f-61fc9764c020
178,EDG-KAW-A,110,COMMISSIONED,Edgecumbe - Kawerau A,TRANSLINE,110 TRANSLINE,13948.624775445,0c34ff04-4c21-459f-8db9-d6e98082a08a
179,EDG-KAW-B,110,COMMISSIONED,Edgecumbe - Kawerau B,TRANSLINE,110 TRANSLINE,14283.3805702382,708cabdd-5100-4082-9e8b-fb8bfc5ad364
180,GOR-TEE-A,220,COMMISSIONED,Gore - Tee A,TRANSLINE,220 TRANSLINE,2133.3092856485,2a06425c-3808-4c8f-aad8-5c105573f39c
181,ALB-HEN-A,110,COMMISSIONED,Albany - Henderson A,TRANSLINE,110 TRANSLINE,15765.3807519803,f8174685-ca0b-4219-8c78-a4c476cb8788
182,ALB-HEN-A1-CBL,110,COMMISSIONED,ALB-HEN-A1 CCT1 Cable Section,CABLE,110 CABLE,3885.22627434011,7ef6e93e-e9c1-4131-a531-d3994a98d99b
183,BHL-WHN-A,400,COMMISSIONED,Brownhill - Whakamaru North A,TRANSLINE,400 TRANSLINE,189053.734997568,8282855d-ea40-4e55-99e9-080021fbbf95
184,BOB-OTA-A,110,COMMISSIONED,Bombay - Otahuhu A,TRANSLINE,110 TRANSLINE,29955.0714335198,8a88c5bf-15d2-4f59-a1a5-e920a4624b32
185,BPE-ONG-A,110,COMMISSIONED,Bunnythorpe - Ongarue A,TRANSLINE,110 TRANSLINE,189310.16986535,b5b43d8b-2d82-49cf-90dd-a1549d557805
186,BPE-WKM-A,220,COMMISSIONED,Bunnythorpe - Whakamaru A,TRANSLINE,220 TRANSLINE,230261.01343969,ebf0c715-57c6-411a-8f3d-3fb5f841adaa
187,BPE-WKM-B,220,COMMISSIONED,Bunnythorpe - Whakamaru B,TRANSLINE,220 TRANSLINE,230631.66991014,9741c4ba-47f1-4588-8f52-265ae6ecb33a
188,BPE-WRK-A,220,COMMISSIONED,Bunnythorpe - Wairakei A,TRANSLINE,220 TRANSLINE,215057.139858066,ce133dd0-fa71-494e-aca6-2842cb4e3c06
189,HAI-TGA-A,110,COMMISSIONED,Hairini - Tauranga A,TRANSLINE,110 TRANSLINE,3805.43307263115,cb7f82be-b623-4ae2-a53f-4654f7c21d6a
